[2025-06-08, 16:39:01:055] http :	 GET /api/users - ::ffff:127.0.0.1
[2025-06-08, 16:39:01:087] http :	 POST /api/users - ::ffff:127.0.0.1
[2025-06-08, 16:39:01:098] http :	 GET /api/users - ::ffff:127.0.0.1
[2025-06-08, 16:39:01:106] http :	 POST /api/users - ::ffff:127.0.0.1
[2025-06-08, 16:39:01:126] http :	 POST /api/users - ::ffff:127.0.0.1
[2025-06-08, 16:39:01:133] http :	 GET /api/users - ::ffff:127.0.0.1
[2025-06-08, 16:39:01:139] http :	 POST /api/users - ::ffff:127.0.0.1
[2025-06-08, 16:39:01:144] http :	 POST /api/users - ::ffff:127.0.0.1
[2025-06-08, 16:39:12:092] http :	 POST /api/users - ::ffff:127.0.0.1
[2025-06-08, 16:39:12:119] http :	 POST /api/users/id_1/exercises - ::ffff:127.0.0.1
[2025-06-08, 16:39:12:133] http :	 POST /api/users/id_1/exercises - ::ffff:127.0.0.1
[2025-06-08, 16:39:12:137] http :	 POST /api/users/id_1/exercises - ::ffff:127.0.0.1
[2025-06-08, 16:39:12:142] http :	 POST /api/users/id_1/exercises - ::ffff:127.0.0.1
[2025-06-08, 16:39:12:147] http :	 POST /api/users/id_1/exercises - ::ffff:127.0.0.1
[2025-06-08, 16:39:12:151] http :	 POST /api/users/id_1/exercises - ::ffff:127.0.0.1
[2025-06-08, 16:39:12:155] http :	 POST /api/users/id_1/exercises - ::ffff:127.0.0.1
[2025-06-08, 16:39:12:162] http :	 POST /api/users/id_1/exercises - ::ffff:127.0.0.1
[2025-06-08, 16:39:12:174] http :	 POST /api/users/id_1/exercises - ::ffff:127.0.0.1
[2025-06-08, 16:39:12:179] http :	 POST /api/users/id_1/exercises - ::ffff:127.0.0.1
[2025-06-08, 16:39:12:182] http :	 POST /api/users/id_1/exercises - ::ffff:127.0.0.1
[2025-06-08, 16:39:12:185] http :	 POST /api/users/id_1/exercises - ::ffff:127.0.0.1
[2025-06-08, 16:39:12:187] http :	 POST /api/users/999999/exercises - ::ffff:127.0.0.1
[2025-06-08, 16:39:21:901] http :	 GET /api/hello - ::ffff:127.0.0.1
[2025-06-08, 16:39:32:057] http :	 POST /api/users - ::ffff:127.0.0.1
[2025-06-08, 16:39:32:087] http :	 GET /api/users/id_1/logs - ::ffff:127.0.0.1
[2025-06-08, 16:39:32:101] http :	 POST /api/users/id_1/exercises - ::ffff:127.0.0.1
[2025-06-08, 16:39:32:109] http :	 GET /api/users/id_1/logs - ::ffff:127.0.0.1
[2025-06-08, 16:39:32:117] http :	 POST /api/users/id_1/exercises - ::ffff:127.0.0.1
[2025-06-08, 16:39:32:126] http :	 POST /api/users/id_1/exercises - ::ffff:127.0.0.1
[2025-06-08, 16:39:32:133] http :	 POST /api/users/id_1/exercises - ::ffff:127.0.0.1
[2025-06-08, 16:39:32:139] http :	 GET /api/users/id_1/logs - ::ffff:127.0.0.1
[2025-06-08, 16:39:32:149] http :	 GET /api/users/id_1/logs?limit=2 - ::ffff:127.0.0.1
[2025-06-08, 16:39:32:159] http :	 GET /api/users/id_1/logs?limit=notanumber - ::ffff:127.0.0.1
[2025-06-08, 16:39:32:164] http :	 GET /api/users/id_1/logs?from=2020-01-01 - ::ffff:127.0.0.1
[2025-06-08, 16:39:32:169] http :	 GET /api/users/id_1/logs?to=2022-12-31 - ::ffff:127.0.0.1
[2025-06-08, 16:39:32:175] http :	 GET /api/users/id_1/logs?from=2022-01-01&to=2022-12-31 - ::ffff:127.0.0.1
[2025-06-08, 16:39:32:183] http :	 GET /api/users/id_1/logs?from=2022-01-01&to=2022-12-31&limit=1 - ::ffff:127.0.0.1
[2025-06-08, 16:39:32:190] http :	 GET /api/users/id_1/logs?from=notadate - ::ffff:127.0.0.1
[2025-06-08, 16:39:32:194] http :	 GET /api/users/id_1/logs?to=notadate - ::ffff:127.0.0.1
[2025-06-08, 16:39:32:197] http :	 GET /api/users/id_1/logs?from=2023-01-01&to=2022-12-31 - ::ffff:127.0.0.1
[2025-06-08, 16:39:32:199] http :	 GET /api/users/999999/logs - ::ffff:127.0.0.1
[2025-06-08, 16:49:24:143] http :	 GET /api/users - ::ffff:127.0.0.1
[2025-06-08, 16:49:24:174] http :	 POST /api/users - ::ffff:127.0.0.1
[2025-06-08, 16:49:24:184] http :	 GET /api/users - ::ffff:127.0.0.1
[2025-06-08, 16:49:24:191] http :	 POST /api/users - ::ffff:127.0.0.1
[2025-06-08, 16:49:24:209] http :	 POST /api/users - ::ffff:127.0.0.1
[2025-06-08, 16:49:24:215] http :	 GET /api/users - ::ffff:127.0.0.1
[2025-06-08, 16:49:24:221] http :	 POST /api/users - ::ffff:127.0.0.1
[2025-06-08, 16:49:24:224] http :	 POST /api/users - ::ffff:127.0.0.1
[2025-06-08, 16:49:34:841] http :	 POST /api/users - ::ffff:127.0.0.1
[2025-06-08, 16:49:34:870] http :	 POST /api/users/id_1/exercises - ::ffff:127.0.0.1
[2025-06-08, 16:49:34:885] http :	 POST /api/users/id_1/exercises - ::ffff:127.0.0.1
[2025-06-08, 16:49:34:889] http :	 POST /api/users/id_1/exercises - ::ffff:127.0.0.1
[2025-06-08, 16:49:34:894] http :	 POST /api/users/id_1/exercises - ::ffff:127.0.0.1
[2025-06-08, 16:49:34:898] http :	 POST /api/users/id_1/exercises - ::ffff:127.0.0.1
[2025-06-08, 16:49:34:903] http :	 POST /api/users/id_1/exercises - ::ffff:127.0.0.1
[2025-06-08, 16:49:34:907] http :	 POST /api/users/id_1/exercises - ::ffff:127.0.0.1
[2025-06-08, 16:49:34:915] http :	 POST /api/users/id_1/exercises - ::ffff:127.0.0.1
[2025-06-08, 16:49:34:929] http :	 POST /api/users/id_1/exercises - ::ffff:127.0.0.1
[2025-06-08, 16:49:34:934] http :	 POST /api/users/id_1/exercises - ::ffff:127.0.0.1
[2025-06-08, 16:49:34:938] http :	 POST /api/users/id_1/exercises - ::ffff:127.0.0.1
[2025-06-08, 16:49:34:940] http :	 POST /api/users/id_1/exercises - ::ffff:127.0.0.1
[2025-06-08, 16:49:34:944] http :	 POST /api/users/999999/exercises - ::ffff:127.0.0.1
[2025-06-08, 16:49:44:662] http :	 POST /api/users - ::ffff:127.0.0.1
[2025-06-08, 16:49:44:689] http :	 GET /api/users/id_1/logs - ::ffff:127.0.0.1
[2025-06-08, 16:49:44:700] http :	 POST /api/users/id_1/exercises - ::ffff:127.0.0.1
[2025-06-08, 16:49:44:708] http :	 GET /api/users/id_1/logs - ::ffff:127.0.0.1
[2025-06-08, 16:49:44:715] http :	 POST /api/users/id_1/exercises - ::ffff:127.0.0.1
[2025-06-08, 16:49:44:722] http :	 POST /api/users/id_1/exercises - ::ffff:127.0.0.1
[2025-06-08, 16:49:44:728] http :	 POST /api/users/id_1/exercises - ::ffff:127.0.0.1
[2025-06-08, 16:49:44:735] http :	 GET /api/users/id_1/logs - ::ffff:127.0.0.1
[2025-06-08, 16:49:44:743] http :	 GET /api/users/id_1/logs?limit=2 - ::ffff:127.0.0.1
[2025-06-08, 16:49:44:751] http :	 GET /api/users/id_1/logs?limit=notanumber - ::ffff:127.0.0.1
[2025-06-08, 16:49:44:754] http :	 GET /api/users/id_1/logs?from=2020-01-01 - ::ffff:127.0.0.1
